ID,Plant.ID,Location on Plant,Location,Reliability (Y means it is very reliable),Nectary Area (by trace method) / mm^2,Drop Diameter / mm,Drop height / mm,Drop Radius (A/2) / mm,Drop Volume (mm^3)
HY15S2A',HY15,Petiole,Hyderabad,Y,4.406,1.304,0.811,0.652,1.786633
KAM1S1A',KAM1,Petiole,Kanyakumari,Not perpendicular,5.723,1.246,0.649,0.623,1.8571135
KAM2LB1A',KAM2,Leafbase,Kanyakumari,Height hard to measure,11.586,2.135,0.91,1.068,5.27163
KAM2S1A',KAM2,Petiole,Kanyakumari,Y,6.713,1.428,0.395,0.714,1.3258175
KAM3LB1A',KAM3,Leafbase,Kanyakumari,Y,2.481,1.053,0.928,0.527,1.151184
KAM3S1A',KAM3,Petiole,Kanyakumari,Y,1.863,1.062,0.82,0.531,0.76383
KAM4LB1A',KAM4,Leafbase,Kanyakumari,Not perpendicular,4.161,1.734,1.312,0.867,2.729616
KAM4S1A',KAM4,Petiole,Kanyakumari,Y,2.565,1.315,0.593,0.658,0.7605225
KAM5LB1A',KAM5,Leafbase,Kanyakumari,Y,3.689,1.583,0.79,0.792,1.457155
KAM7S1A',KAM7,Petiole,Kanyakumari,Y,1.382,0.758,0.44,0.379,0.30404
KAM8LB1A',KAM8,Leafbase,Kanyakumari,Y,2.652,1.263,0.689,0.632,0.913614
KAM8S1A',KAM8,Petiole,Kanyakumari,Full sphere,1.857,1.053,1.073,0.527,0.9962805
KO01LB1A',KO01,Leafbase,Koradi,Y,2.131,0.732,0.367,0.366,0.3910385
KO01LB2A',KO01,Leafbase,Koradi,Not perpendicular,1.751,1.08,0.923,0.54,0.8080865
KO05LB1A',KO05,Leafbase,Koradi,Y,3.545,1.17,0.898,0.585,1.591705
KO05S1A',KO05,Petiole,Koradi,Not perpendicular,3.078,1.52,1,0.76,1.539
KO07LB1A',KO07,Leafbase,Koradi,Drop is very small,9.077,0.812,0.622,0.406,2.822947
KO09LB1A',KO09,Leafbase,Koradi,Drop is very small,2.9,0.493,0.316,0.247,0.4582
KO12LB1A',KO12,Leafbase,Koradi,Drop is very small,5.7,0.856,0.628,0.428,1.7898
KO12S1A',KO12,Petiole,Koradi,Drop is very small,4.23,0.678,0.566,0.339,1.19709
PB02S1A',PB02,Petiole,Portblair,Y,4.438,2.278,0.86,1.139,1.90834
PB06S1A',PB06,Petiole,Portblair,Height hard to measure,3.8,2.241,0.919,1.121,1.7461
PB08LB1A',PB08,Leafbase,Portblair,Not perpendicular,6.146,2.063,1.035,1.032,3.180555
PB08S1A',PB08,Petiole,Portblair,Y,5.874,2.79,0.763,1.395,2.240931
PB09S1A',PB09,Petiole,Portblair,Y,2.716,1.834,0.312,0.917,0.423696
SR01S1A',SR01,Petiole,Srirangam,Drop is very small,3.377,0.39,0.246,0.195,0.415371
SR03LB1A',SR03,Leafbase,Srirangam,Drop is very small,3.703,0.311,0.276,0.156,0.511014
SR03S1A',SR03,Petiole,Srirangam,Drop is very small and mm scale,0.598,0.186,0.122,0.093,0.036478
SR03S2A',SR03,Petiole,Srirangam,Drop is very small and not perpendicular,2.685,0.353,0.26,0.177,0.34905
SR07LB1A',SR07,Leafbase,Srirangam,Drop is very small,4.25,0.496,0.29,0.248,0.61625
SR07S1A',SR07,Petiole,Srirangam,Drop is very small and mm scale,2.885,0.477,0.374,0.239,0.539495
SR11S1A',SR11,Petiole,Srirangam,Scale issue,1.961,0.604,0.556,0.302,0.545158
SR12S1A',SR12,Petiole,Srirangam,Not perpendicular and mm scale,0.341,0.27,0.256,0.135,0.043648
SR12S2A',SR12,Petiole,Srirangam,Not perpendicular,5.1,1.007,0.596,0.504,1.5198
